name,year,team,position
Rich McGeorge,1994,Miami Dolphins,Assistant Offensive Line/Tight Ends
John Sandusky,1994,Miami Dolphins,Assistant Head Coach/Offensive Line
Tom Olivadotti,1994,Miami Dolphins,Defense
Joe Greene,1994,Miami Dolphins,Defensive Line
George Hill,1994,Miami Dolphins,Linebackers
Mel Phillips,1994,Miami Dolphins,Defensive Backs
Mike Westhoff,1994,Miami Dolphins,Special Teams
John Gamble,1994,Miami Dolphins,Strength
Junior Wade,1994,Miami Dolphins,Conditioning
Dennis Green,1994,Minnesota Vikings,Head Coach
Tyrone Willingham,1994,Minnesota Vikings,Running Backs
Jerry Rhome,1994,Minnesota Vikings,Receivers
Keith Rowen,1994,Minnesota Vikings,Offensive Line
Chris Foerster,1994,Minnesota Vikings,Assistant Offensive Line
Carl Hargrave,1994,Minnesota Vikings,Offensive Assistant
John Teerlinck,1994,Minnesota Vikings,Defensive Line
Monte Kiffin,1994,Minnesota Vikings,Inside Linebackers
Trent Walters,1994,Minnesota Vikings,Outside Linebackers
Richard Solomon,1994,Minnesota Vikings,Defensive Backs
Gary Zauner,1994,Minnesota Vikings,Special Teams
Steve Wetzel,1994,Minnesota Vikings,Strength And Conditioning
Mike Wolf,1994,Minnesota Vikings,Strength And Conditioning Assistant
Bill Parcells,1994,New England Patriots,Head Coach
Mike Pope,1994,New England Patriots,Running Backs
Chris Palmer,1994,New England Patriots,Wide Receivers
Charlie Weis,1994,New England Patriots,Tight Ends
Fred Hoaglin,1994,New England Patriots,Offensive Line
Maurice Carthon,1994,New England Patriots,Offensive Assistant
Romeo Crennel,1994,New England Patriots,Defensive Line
Bob Trott,1994,New England Patriots,Defensive Backs
Dante Scarnecchia,1994,New England Patriots,Special Assistant
Mike Sweatman,1994,New England Patriots,Special Teams
Johnny Parker,1994,New England Patriots,Strength And Conditioning
Jim Skipper,1994,New Orleans Saints,Running Backs
Steve Walters,1994,New Orleans Saints,Wide Receivers
Joe Marciano,1994,New Orleans Saints,Tight Ends/Special Teams
John Matsko,1994,New Orleans Saints,Offensive Line
Chip Myers,1994,New Orleans Saints,Offensive Assistant
John Pease,1994,New Orleans Saints,Defensive Line
Vic Fangio,1994,New Orleans Saints,Outside Linebackers
Jim L Mora,1994,New Orleans Saints,Defensive Backs
Everett Withers,1994,New Orleans Saints,Defensive Assistant
Joe Marciano,1994,New Orleans Saints,Tight Ends/Special Teams
Russell Paternostro,1994,New Orleans Saints,Strength And Conditioning
Dan Reeves,1994,New York Giants,Head Coach
George Sefcik,1994,New York Giants,Running Backs
Dick Rehbein,1994,New York Giants,Wide Receivers
James Daniel,1994,New York Giants,Tight Ends
Pete Mangurian,1994,New York Giants,Offensive Line
Earl Leggett,1994,New York Giants,Defensive Line
Don Blackmon,1994,New York Giants,Linebackers
Zaven Yaralian,1994,New York Giants,Defensive Backs
Joe DeCamillis,1994,New York Giants,Special Teams
Al Miller,1994,New York Giants,Strength And Conditioning
Pete Carroll,1994,New York Jets,Head Coach
Walt Harris,1994,New York Jets,Quarterbacks
Johnny Roland,1994,New York Jets,Running Backs
Richard Mann,1994,New York Jets,Receivers
Don Breaux,1994,New York Jets,Tight Ends
Larry Beightol,1994,New York Jets,Offensive Line
Sparky Woods,1994,New York Jets,Offensive Assistant
Larry Coyer,1994,New York Jets,Defensive Line
Foge Fazio,1994,New York Jets,Linebackers
Ed Donatell,1994,New York Jets,Defensive Backs
Steve Trimble,1994,New York Jets,Defensive Assistant
Brad Seely,1994,New York Jets,Special Teams
Greg Mackrides,1994,New York Jets,Strength And Conditioning
Rich Kotite,1994,Philadelphia Eagles,Head Coach
Dick Wood,1994,Philadelphia Eagles,Running Backs
Lew Carpenter,1994,Philadelphia Eagles,Receivers/Tight Ends
Bill Muir,1994,Philadelphia Eagles,Offensive Line
Bobby Hammond,1994,Philadelphia Eagles,Offensive Assistant/Special Teams Assistant
Dale Haupt,1994,Philadelphia Eagles,Defensive Line
Jim Vechiarella,1994,Philadelphia Eagles,Linebackers
Peter Giunta,1994,Philadelphia Eagles,Defensive Assistant
Bobby Hammond,1994,Philadelphia Eagles,Offensive Assistant/Special Teams Assistant
Jim Williams,1994,Philadelphia Eagles,Strength And Conditioning
Chuck Noll,1994,Pittsburgh Steelers,Administration Advisor
Bill Cowher,1994,Pittsburgh Steelers,Head Coach
Chan Gailey,1994,Pittsburgh Steelers,Wide Receivers
Dick Hoak,1994,Pittsburgh Steelers,Running Backs
Pat Hodgson,1994,Pittsburgh Steelers,Tight Ends
Kent Stephenson,1994,Pittsburgh Steelers,Offensive Line
John Mitchell,1994,Pittsburgh Steelers,Defensive Line
Marvin Lewis,1994,Pittsburgh Steelers,Linebackers
Dick LeBeau,1994,Pittsburgh Steelers,Defensive Backs
Bobby April,1994,Pittsburgh Steelers,Special Teams
John Norwig,1994,Pittsburgh Steelers,Head Trainer
Rick Burkholder,1994,Pittsburgh Steelers,Assistant Trainer
Bill Davis,1994,Pittsburgh Steelers,Football Operations
