name,team,year,position_w
Rennie Simmons,Atlanta Falcons,2002,Assistant Offensive Line
Ed West,Atlanta Falcons,2002,Offensive Quality Control
Bill Johnson,Atlanta Falcons,2002,Defensive Line
Billy Davis,Atlanta Falcons,2002,Linebackers
Joe DeCamillis,Atlanta Falcons,2002,Special Teams
Al Miller,Atlanta Falcons,2002,Strength And Conditioning
Rocky Colburn,Atlanta Falcons,2002,Assistant Strength And Conditioning
David Shaw,Baltimore Ravens,2002,Quarterbacks/Wide Receivers
Matt Simon,Baltimore Ravens,2002,Running Backs
Wade Harman,Baltimore Ravens,2002,Tight Ends/Assistant Offensive Line
Donnie Henderson,Baltimore Ravens,2002,Secondary
Phil Zacharias,Baltimore Ravens,2002,Defensive Assistant/Defensive Line
Bennie Thompson,Baltimore Ravens,2002,Special Teams Assistant
Jeff Friday,Baltimore Ravens,2002,Strength And Conditioning
Mark Asanovich,Baltimore Ravens,2002,Assistant Strength And Conditioning
Paul Ricci,Baltimore Ravens,2002,Assistant Strength And Conditioning
Scott O'Brien,Carolina Panthers,2002,Assistant Head/Special Teams
Paul T Boudreau,Carolina Panthers,2002,Offensive Line
Sam Mills,Carolina Panthers,2002,Linebackers
Rod Perry,Carolina Panthers,2002,Secondary
Alvin Reynolds,Carolina Panthers,2002,Defensive Assistant
Sal Sunseri,Carolina Panthers,2002,Defensive Assistant
Darrin Simmons,Carolina Panthers,2002,Special Teams Assistant/Assistant Strength And Conditioning
Jerry Simmons,Carolina Panthers,2002,Strength And Conditioning
Wade Wilson,Dallas Cowboys,2002,Quarterbacks
Galen Hall,Dallas Cowboys,2002,Running Backs
Wes Chandler,Dallas Cowboys,2002,Wide Receivers
Greg Seamon,Dallas Cowboys,2002,Tight Ends
Frank Verducci,Dallas Cowboys,2002,Offensive Line
Bill Bates,Dallas Cowboys,2002,Defensive Nickel Package/Assistant
Jim Jeffcoat,Dallas Cowboys,2002,Defensive Ends
Andre Patterson,Dallas Cowboys,2002,Defensive Tackles
Joe Avezzano,Dallas Cowboys,2002,Special Teams
Steve Hoffman,Dallas Cowboys,2002,Kickers/Quality Control
Joe Juraszek,Dallas Cowboys,2002,Strength And Conditioning
Tony Ollison,Dallas Cowboys,2002,Assistant Strength And Conditioning
Bennie Wylie,Dallas Cowboys,2002,Assistant Strength And Conditioning
Alex Gibbs,Denver Broncos,2002,Assistant Head/Offensive Line
George Dyer,Denver Broncos,2002,Assistant Head
Bobby Turner,Denver Broncos,2002,Running Backs
Karl Dorrell,Denver Broncos,2002,Wide Receivers
Brian Pariani,Denver Broncos,2002,Tight Ends
Pat McPherson,Denver Broncos,2002,Offensive Assistant
Jacob Burney,Denver Broncos,2002,Defensive Line
Steve Watson,Denver Broncos,2002,Defensive Assistant
Ron Milus,Denver Broncos,2002,Defensive Backs
David Gibbs,Denver Broncos,2002,Defensive Backs
Rich Tuten,Denver Broncos,2002,Strength And Conditioning
Greg Saporta,Denver Broncos,2002,Assistant Strength And Conditioning
Cedric Smith,Denver Broncos,2002,Assistant Strength And Conditioning
Kevin Higgins,Detroit Lions,2002,Quarterbacks
Larry Kirksey,Detroit Lions,2002,Wide Receivers
Sean Kugler,Detroit Lions,2002,Tight Ends
Carl Mauck,Detroit Lions,2002,Offensive Line
Sherman Lewis,Detroit Lions,2002,Special Assistant/Offense
Mike McHugh,Detroit Lions,2002,Offensive Assistant/Quality Control
Charles Haley,Detroit Lions,2002,Defensive Line
John Marshall,Detroit Lions,2002,Assistant Defensive Line
Glenn Pires,Detroit Lions,2002,Linebackers
Richard Selcer,Detroit Lions,2002,Defensive Nickel Package
Don Clemons,Detroit Lions,2002,Defensive Assistant/Quality Control
Chuck Priefer,Detroit Lions,2002,Special Teams
Kevin O'Dea,Detroit Lions,2002,Assistant Special Teams
Jason Arapoff,Detroit Lions,2002,Strength And Conditioning
Malcolm Blacken,Detroit Lions,2002,Assistant Strength And Conditioning
Larry Beightol,Green Bay Packers,2002,Offensive Line
Pat Ruel,Green Bay Packers,2002,Assistant Offensive Line
Jethro Franklin,Green Bay Packers,2002,Defensive Line
Bo Pelini,Green Bay Packers,2002,Linebackers
Lionel Washington,Green Bay Packers,2002,Assistant Defensive Backs
Brad Miller,Green Bay Packers,2002,Defensive Assistant/Quality Control
Frank Novak,Green Bay Packers,2002,Special Teams
Stan Drayton,Green Bay Packers,2002,Quality Control Assistant/Special Teams-Offense
Barry Rubin,Green Bay Packers,2002,Strength And Conditioning
Mark Lovat,Green Bay Packers,2002,Strength And Conditioning Assistant
Vince Workman,Green Bay Packers,2002,Weight Room Assistant
Tony Marciano,Houston Texans,2002,Offensive Line
Steve Marshall,Houston Texans,2002,Assistant Offensive Line
Reggie Herring,Houston Texans,2002,Linebackers
Jon Hoke,Houston Texans,2002,Defensive Backs/Secondary
Eric Sutulovich,Houston Texans,2002,Assistant Special Teams
Dan Riley,Houston Texans,2002,Strength And Conditioning
Ray Wright,Houston Texans,2002,Assistant Strength And Conditioning
Gene Huey,Indianapolis Colts,2002,Running Backs
Howard Mudd,Indianapolis Colts,2002,Offensive Line
Ricky Thomas,Indianapolis Colts,2002,Offensive Quality Control
John Teerlinck,Indianapolis Colts,2002,Defensive Line
Mike Murphy,Indianapolis Colts,2002,Linebackers
Diron Reynolds,Indianapolis Colts,2002,Defensive Quality Control
Russ Purnell,Indianapolis Colts,2002,Special Teams
Jon Torine,Indianapolis Colts,2002,Strength And Conditioning
Richard Howell,Indianapolis Colts,2002,Assistant Strength And Conditioning
Jerald Ingram,Jacksonville Jaguars,2002,Running Backs
John McNulty,Jacksonville Jaguars,2002,Wide Receivers
Mike Maser,Jacksonville Jaguars,2002,Offensive Line
Ty Knott,Jacksonville Jaguars,2002,Offensive Quality Control
Lucious Selmon,Jacksonville Jaguars,2002,Defensive Line
Steve Szabo,Jacksonville Jaguars,2002,Linebackers
Mike Priefer,Jacksonville Jaguars,2002,Assistant Special Teams
Jerry Palmieri,Jacksonville Jaguars,2002,Strength And Conditioning
Greg Finnegan,Jacksonville Jaguars,2002,Assistant Strength And Conditioning
James Saxon,Kansas City Chiefs,2002,Running Backs
Charlie Joiner,Kansas City Chiefs,2002,Wide Receivers
Irv Eatman,Kansas City Chiefs,2002,Assistant Offensive Line
Jason Verduzco,Kansas City Chiefs,2002,Offensive Assistant/Quality Control
Bob Saunders,Kansas City Chiefs,2002,Offensive Quality Control
Carl Hairston,Kansas City Chiefs,2002,Defensive Line
Bob Karmelowicz,Kansas City Chiefs,2002,Defensive Line
Darvin Wallis,Kansas City Chiefs,2002,Defensive Assistant/Quality Control
Frank Gansz Jr,Kansas City Chiefs,2002,Special Teams
Thomas McGaughey,Kansas City Chiefs,2002,Assistant Special Teams
Jeff Hurd,Kansas City Chiefs,2002,Strength And Conditioning
Billy Long,Kansas City Chiefs,2002,Assistant Strength And Conditioning
Joel Collier,Miami Dolphins,2002,Running Backs
Robert Ford,Miami Dolphins,2002,Wide Receivers
Pat Jones,Miami Dolphins,2002,Tight Ends
Tony Wise,Miami Dolphins,2002,Offensive Line
Judd Garrett,Miami Dolphins,2002,Offensive Quality Control
Clarence Brooks,Miami Dolphins,2002,Defensive Line
Mel Phillips,Miami Dolphins,2002,Secondary
Bill Lewis,Miami Dolphins,2002,Defensive Nickel Package
Robert Nunn,Miami Dolphins,2002,Assistant Defensive Line/Defensive Quality Control
Keith Armstrong,Miami Dolphins,2002,Special Teams
Bernie Parmalee,Miami Dolphins,2002,Assistant Special Teams
Doug Blevins,Miami Dolphins,2002,Kicking
John Gamble,Miami Dolphins,2002,Strength And Conditioning
Brad Roll,Miami Dolphins,2002,Assistant Strength And Conditioning
Dean Dalton,Minnesota Vikings,2002,Running Backs
Charlie Baggett,Minnesota Vikings,2002,Wide Receivers
John Tice,Minnesota Vikings,2002,Tight Ends/Assistant Offensive Line
Jim Panagos,Minnesota Vikings,2002,Offensive Assistant/Quality Control
Brian Baker,Minnesota Vikings,2002,Linebackers
Chuck Knox Jr,Minnesota Vikings,2002,Defensive Backfield
Pete Bercich,Minnesota Vikings,2002,Defensive Assistant/Quality Control
Jay Hayes,Minnesota Vikings,2002,Special Teams
Steve Wetzel,Minnesota Vikings,2002,Strength And Conditioning
Daryl Lawrence,Minnesota Vikings,2002,Assistant Strength And Conditioning
Dante Scarnecchia,New England Patriots,2002,Assistant Head/Offensive Line
Ivan Fears,New England Patriots,2002,Running Backs
Nick Caserio,New England Patriots,2002,Coaching Assistant
Pepper Johnson,New England Patriots,2002,Inside Linebackers
Brad Seely,New England Patriots,2002,Special Teams
Mike Woicik,New England Patriots,2002,Strength And Conditioning
Markus Paul,New England Patriots,2002,Assistant Strength And Conditioning
Russ Ball,New Orleans Saints,2002,Senior Football Administrator
Hubbard Alexander,New Orleans Saints,2002,Wide Receivers
Bob Palcic,New Orleans Saints,2002,Tight Ends
Jack Henry,New Orleans Saints,2002,Offensive Line
Danny Langsdorf,New Orleans Saints,2002,Offensive Assistant/Quality Control
Sam Clancy,New Orleans Saints,2002,Defensive Line
Winston Moss,New Orleans Saints,2002,Linebackers
Joe Baker,New Orleans Saints,2002,Assistant Secondary
Greg Brown,New Orleans Saints,2002,Defensive Assistant/Quality Control
Al Everest,New Orleans Saints,2002,Special Teams
Rock Gullickson,New Orleans Saints,2002,Strength And Conditioning
Evan Marcus,New Orleans Saints,2002,Assistant Strength And Conditioning
Jimmy Robinson,New York Giants,2002,Wide Receivers
Jim McNally,New York Giants,2002,Offensive Line
Jay Robertson,New York Giants,2002,Offensive Quality Control
Denny Marcin,New York Giants,2002,Defensive Line
DeWayne Walker,New York Giants,2002,Defensive Backs
Bruce Read,New York Giants,2002,Special Teams
John Dunn,New York Giants,2002,Strength And Conditioning
Craig Stoddard,New York Giants,2002,Assistant Strength And Conditioning
Herman Edwards,New York Jets,2002,Head
Bishop Harris,New York Jets,2002,Running Backs
Mose Rison,New York Jets,2002,Wide Receivers
Phil Pettey,New York Jets,2002,Tight Ends
Eric Price,New York Jets,2002,Offensive Assistant
Mike Henning,New York Jets,2002,Offensive Quality Control
Bill Bradley,New York Jets,2002,Defensive Backs
Dave Merritt,New York Jets,2002,Defensive Assistant/Linebackers
Al Roberts,New York Jets,2002,Special Teams
John Lott,New York Jets,2002,Strength And Conditioning
Sal Alosi,New York Jets,2002,Strength Assistant
Skip Peete,Oakland Raiders,2002,Running Backs
Fred Biletnikoff,Oakland Raiders,2002,Wide Receivers
Jay Norvell,Oakland Raiders,2002,Tight Ends
Chris Turner,Oakland Raiders,2002,Offensive Assistant
Mike Waufle,Oakland Raiders,2002,Defensive Line
Chris Griswold,Oakland Raiders,2002,Quality Control/Defense
Don Martin,Oakland Raiders,2002,Quality Control/Defense
Willie Brown,Oakland Raiders,2002,Squad Development
Ted Williams,Philadelphia Eagles,2002,Running Backs
David Culley,Philadelphia Eagles,2002,Wide Receivers
Tom Melvin,Philadelphia Eagles,2002,Tight Ends
Mike Kelly,Philadelphia Eagles,2002,Offensive Quality Control
Tommy Brasher,Philadelphia Eagles,2002,Defensive Line
Dave Toub,Philadelphia Eagles,2002,Special Teams/Quality Control
Rick Burkholder,Philadelphia Eagles,2002,Head Athletic Trainer
Mike Wolf,Philadelphia Eagles,2002,Strength And Conditioning
Tom Kanavy,Philadelphia Eagles,2002,Assistant Strength And Conditioning
Eric Sugarman,Philadelphia Eagles,2002,Assistant Trainer
Bill Arnsparger,San Diego Chargers,2002,Associate Head/Defense
James Lofton,San Diego Chargers,2002,Wide Receivers
Tim Brewster,San Diego Chargers,2002,Tight Ends
Hudson Houck,San Diego Chargers,2002,Offensive Line
Pete Carmichael Jr,San Diego Chargers,2002,Offensive Assistant/Quality Control
Wayne Nunnely,San Diego Chargers,2002,Defensive Line
Jerry Holmes,San Diego Chargers,2002,Defensive Backs
Dave Redding,San Diego Chargers,2002,Strength And Conditioning
Matt Schiotz,San Diego Chargers,2002,Assistant Strength And Conditioning
Bill Walsh,San Francisco 49ers,2002,Consultant
Tom Rathman,San Francisco 49ers,2002,Running Backs
George Stewart,San Francisco 49ers,2002,Wide Receivers
Tom Batta,San Francisco 49ers,2002,Tight Ends
Patrick Morris,San Francisco 49ers,2002,Offensive Line
Andy Sugarman,San Francisco 49ers,2002,Offensive Assistant
Dwaine Board,San Francisco 49ers,2002,Defensive Line
Brett Maxie,San Francisco 49ers,2002,Secondary
Chris Beake,San Francisco 49ers,2002,Defensive Assistant
Bruce DeHaven,San Francisco 49ers,2002,Special Teams
Stan Parrish,Tampa Bay Buccaneers,2002,Quarterbacks
Kirby Wilson,Tampa Bay Buccaneers,2002,Running Backs
Richard Mann,Tampa Bay Buccaneers,2002,Wide Receivers
Art Valero,Tampa Bay Buccaneers,2002,Tight Ends
Michael Christianson,Tampa Bay Buccaneers,2002,Assistant Offensive Line
Richard Bisaccia,Tampa Bay Buccaneers,2002,Special Teams
Johnny Parker,Tampa Bay Buccaneers,2002,Strength And Conditioning
Mike Morris,Tampa Bay Buccaneers,2002,Assistant Strength And Conditioning
Craig Johnson,Tennessee Titans,2002,Quarterbacks
Steve Walters,Tennessee Titans,2002,Wide Receivers
Ned James,Tennessee Titans,2002,Offensive Assistant/Quality Control
Jim Washburn,Tennessee Titans,2002,Defensive Line
Everett Withers,Tennessee Titans,2002,Defensive Backs
Alan Lowry,Tennessee Titans,2002,Special Teams
Steve Watterson,Tennessee Titans,2002,Strength And Conditioning
Sammy Cribb,Tennessee Titans,2002,Assistant Strength And Conditioning
Noah Brindise,Washington Redskins,2002,Assistant Quarterbacks
Steve Spurrier Jr,Washington Redskins,2002,Wide Receivers
Lawson Holland,Washington Redskins,2002,Tight Ends
John Hunt,Washington Redskins,2002,Assistant Offensive Line
Ricky Hunley,Washington Redskins,2002,Defensive Line
DeChon Burns,Washington Redskins,2002,Assistant Defensive Line/Quality Control
George Catavolos,Washington Redskins,2002,Defensive Backs
Kirk Olivadotti,Washington Redskins,2002,Assistant Defensive Backs
Mike Stock,Washington Redskins,2002,Special Teams
Jim Collins,Washington Redskins,2002,Assistant Special Teams/Assistant Linebackers
Chip Morton,Washington Redskins,2002,Strength And Conditioning
John Hastings,Washington Redskins,2002,Assistant Strength And Conditioning
Johnny Roland,Arizona Cardinals,2003,Running Backs
Tyke Tolbert,Arizona Cardinals,2003,Wide Receivers
Marty Galbraith,Arizona Cardinals,2003,Tight Ends
George Warhop,Arizona Cardinals,2003,Offensive Line
Mike Devlin,Arizona Cardinals,2003,Assistant Offensive Line/Offensive Quality Control
Joe Greene,Arizona Cardinals,2003,Defensive Line
Cary Godette,Arizona Cardinals,2003,Assistant Defensive Line
Jeff FitzGerald,Arizona Cardinals,2003,Linebackers
Ron Milus,Arizona Cardinals,2003,Defensive Backs
Hank Kuhlmann,Arizona Cardinals,2003,Special Teams
Stan Kwan,Arizona Cardinals,2003,Special Teams Assistant/Defensive Quality Control
Bob Rogucki,Arizona Cardinals,2003,Strength And Conditioning
Mike Johnson,Atlanta Falcons,2003,Quarterbacks
Ollie Wilson,Atlanta Falcons,2003,Running Backs
George Stewart,Atlanta Falcons,2003,Wide Receivers
James Daniel,Atlanta Falcons,2003,Tight Ends
Rennie Simmons,Atlanta Falcons,2003,Offensive Line
Bill Johnson,Atlanta Falcons,2003,Defensive Line
Billy Davis,Atlanta Falcons,2003,Linebackers
Joe DeCamillis,Atlanta Falcons,2003,Special Teams
Al Miller,Atlanta Falcons,2003,Strength And Conditioning
Rocky Colburn,Atlanta Falcons,2003,Assistant Strength And Conditioning
David Shaw,Baltimore Ravens,2003,Quarterbacks/Wide Receivers
Matt Simon,Baltimore Ravens,2003,Running Backs
Wade Harman,Baltimore Ravens,2003,Tight Ends/Assistant Offensive Line
Donnie Henderson,Baltimore Ravens,2003,Secondary
Phil Zacharias,Baltimore Ravens,2003,Defensive Assistant/Outside Linebackers
Bennie Thompson,Baltimore Ravens,2003,Special Teams Assistant
Jeff Friday,Baltimore Ravens,2003,Strength And Conditioning
Paul Ricci,Baltimore Ravens,2003,Assistant Strength And Conditioning
Scott O'Brien,Carolina Panthers,2003,Assistant Head/Special Teams
Dave Magazu,Carolina Panthers,2003,Tight Ends
Mike Maser,Carolina Panthers,2003,Offensive Line
Sal Sunseri,Carolina Panthers,2003,Defensive Line
Sam Mills,Carolina Panthers,2003,Linebackers
Rod Perry,Carolina Panthers,2003,Secondary
Martin Bayless,Carolina Panthers,2003,Defensive Assistant
Danny Crossman,Carolina Panthers,2003,Special Teams Assistant/Assistant Strength And Conditioning
Jerry Simmons,Carolina Panthers,2003,Strength And Conditioning
Earle Mosley,Chicago Bears,2003,Running Backs
Pat Flaherty,Chicago Bears,2003,Tight Ends
Bob Wylie,Chicago Bears,2003,Offensive Line
Pete Carmichael Jr,Chicago Bears,2003,Offensive Assistant
Charlie Coiner,Chicago Bears,2003,Offensive Quality Control
Larry Brooks,Chicago Bears,2003,Defensive Line
Richard Dent,Chicago Bears,2003,Assistant Defensive Line
Vance Bedford,Chicago Bears,2003,Defensive Backs
Chuck Bullough,Chicago Bears,2003,Assistant Defensive Backs/Secondary/Assistant Special Teams/Defensive Quality Control
Mike Sweatman,Chicago Bears,2003,Special Teams
Russ Riederer,Chicago Bears,2003,Strength
Alex Gibbs,Denver Broncos,2003,Assistant Head/Offensive Line
Pat McPherson,Denver Broncos,2003,Quarterbacks
Bobby Turner,Denver Broncos,2003,Running Backs
Steve Watson,Denver Broncos,2003,Wide Receivers
Brian Pariani,Denver Broncos,2003,Tight Ends
Jacob Burney,Denver Broncos,2003,Defensive Line
David Gibbs,Denver Broncos,2003,Defensive Backs/Secondary
Jimmy Spencer,Denver Broncos,2003,Assistant Defensive Backs/Secondary
Ronnie Bradford,Denver Broncos,2003,Assistant Special Teams
Rich Tuten,Denver Broncos,2003,Strength And Conditioning
Greg Saporta,Denver Broncos,2003,Assistant Strength And Conditioning
Cedric Smith,Denver Broncos,2003,Assistant Strength And Conditioning
Kevin Higgins,Detroit Lions,2003,Quarterbacks
Tom Rathman,Detroit Lions,2003,Running Backs
Bobby Williams,Detroit Lions,2003,Wide Receivers
Sean Kugler,Detroit Lions,2003,Tight Ends
Carl Mauck,Detroit Lions,2003,Offensive Line
Andy Sugarman,Detroit Lions,2003,Offensive Assistant
George Dyer,Detroit Lions,2003,Defensive Line
Don Clemons,Detroit Lions,2003,Defensive Assistant
Johnny Holland,Detroit Lions,2003,Defensive Assistant
Chuck Priefer,Detroit Lions,2003,Special Teams
Kevin O'Dea,Detroit Lions,2003,Assistant Special Teams/Offense
Jason Arapoff,Detroit Lions,2003,Strength And Conditioning
Malcolm Blacken,Detroit Lions,2003,Assistant Strength And Conditioning
Larry Beightol,Green Bay Packers,2003,Offensive Line
Stan Drayton,Green Bay Packers,2003,Offense Quality Control/Assistant Special Teams
Jethro Franklin,Green Bay Packers,2003,Defensive Line
Brad Miller,Green Bay Packers,2003,Assistant Defensive Line
Lionel Washington,Green Bay Packers,2003,Assistant Defensive Backs
Frank Novak,Green Bay Packers,2003,Special Teams Consultant
Barry Rubin,Green Bay Packers,2003,Strength And Conditioning
Mark Lovat,Green Bay Packers,2003,Strength And Conditioning Assistant
Vince Workman,Green Bay Packers,2003,Weight Room Assistant
Tony Marciano,Houston Texans,2003,Offensive Line
Steve Marshall,Houston Texans,2003,Assistant Offensive Line
Reggie Herring,Houston Texans,2003,Linebackers
Jon Hoke,Houston Texans,2003,Defensive Backs/Secondary
Eric Sutulovich,Houston Texans,2003,Assistant Special Teams
Dan Riley,Houston Texans,2003,Strength And Conditioning
Ray Wright,Houston Texans,2003,Assistant Strength And Conditioning
Steve Shafer,Jacksonville Jaguars,2003,Assistant Head
Larry Kirksey,Jacksonville Jaguars,2003,Wide Receivers
Alfredo Roberts,Jacksonville Jaguars,2003,Tight Ends
Paul T Boudreau,Jacksonville Jaguars,2003,Offensive Line
Ray Hamilton,Jacksonville Jaguars,2003,Defensive Line
Mike Haluchak,Jacksonville Jaguars,2003,Linebackers
Alvin Reynolds,Jacksonville Jaguars,2003,Defensive Backs
Todd Howard,Jacksonville Jaguars,2003,Defensive Assistant
Paul McCord,Jacksonville Jaguars,2003,Assistant Special Teams/Assistant Strength And Conditioning
Mark Asanovich,Jacksonville Jaguars,2003,Strength And Conditioning
Vernon Stephens,Jacksonville Jaguars,2003,Strength And Conditioning Intern
Joel Collier,Miami Dolphins,2003,Running Backs
Robert Ford,Miami Dolphins,2003,Wide Receivers
Pat Jones,Miami Dolphins,2003,Tight Ends
Tony Wise,Miami Dolphins,2003,Offensive Line
Judd Garrett,Miami Dolphins,2003,Offensive Quality Control/Quarterbacks
Clarence Brooks,Miami Dolphins,2003,Defensive Line
Glenn Pires,Miami Dolphins,2003,Assistant Defensive Line
Mel Phillips,Miami Dolphins,2003,Secondary
Bill Lewis,Miami Dolphins,2003,Defensive Nickel Package
Keith Armstrong,Miami Dolphins,2003,Special Teams
Bernie Parmalee,Miami Dolphins,2003,Assistant Special Teams/Offensive Assistant
John Gamble,Miami Dolphins,2003,Strength And Conditioning
Brad Roll,Miami Dolphins,2003,Assistant Strength And Conditioning
Dean Dalton,Minnesota Vikings,2003,Running Backs
Charlie Baggett,Minnesota Vikings,2003,Wide Receivers
John Tice,Minnesota Vikings,2003,Tight Ends/Assistant Offensive Line
Randy Hanson,Minnesota Vikings,2003,Offensive Quality Control
Brian Baker,Minnesota Vikings,2003,Linebackers
Chuck Knox Jr,Minnesota Vikings,2003,Secondary
Kevin Ross,Minnesota Vikings,2003,Assistant Secondary
Pete Bercich,Minnesota Vikings,2003,Defensive Assistant/Assistant Defensive Line
Jim Panagos,Minnesota Vikings,2003,Defensive Quality Control
Steve Wetzel,Minnesota Vikings,2003,Strength And Conditioning
Daryl Lawrence,Minnesota Vikings,2003,Assistant Strength And Conditioning
Dante Scarnecchia,New England Patriots,2003,Assistant Head/Offensive Line
Ivan Fears,New England Patriots,2003,Running Backs
Sean Gustus,New England Patriots,2003,Coaching Assistant
Pepper Johnson,New England Patriots,2003,Inside Linebackers
Brad Seely,New England Patriots,2003,Special Teams
Mike Woicik,New England Patriots,2003,Strength And Conditioning
Markus Paul,New England Patriots,2003,Assistant Strength And Conditioning
Russ Ball,New Orleans Saints,2003,Senior Football Administrator
Hubbard Alexander,New Orleans Saints,2003,Wide Receivers
Danny Langsdorf,New Orleans Saints,2003,Assistant Wide Receivers
Bob Palcic,New Orleans Saints,2003,Tight Ends
Jack Henry,New Orleans Saints,2003,Offensive Line
John Misciagna,New Orleans Saints,2003,Offensive Assistant/Quality Control
Sam Clancy,New Orleans Saints,2003,Defensive Line
Winston Moss,New Orleans Saints,2003,Linebackers
Joe Baker,New Orleans Saints,2003,Secondary
Greg Brown,New Orleans Saints,2003,Secondary/Cornerbacks
Ty Knott,New Orleans Saints,2003,Defensive Assistant/Quality Control
Al Everest,New Orleans Saints,2003,Special Teams
Rock Gullickson,New Orleans Saints,2003,Strength And Conditioning
Jerry Palmieri,New Orleans Saints,2003,Assistant Strength And Conditioning
Herman Edwards,New York Jets,2003,Head
Bishop Harris,New York Jets,2003,Running Backs
Tim Berbenich,New York Jets,2003,Offensive Assistant
Bill Bradley,New York Jets,2003,Defensive Backs
Dave Merritt,New York Jets,2003,Defensive Assistant/Linebackers
John Lott,New York Jets,2003,Strength And Conditioning
Sal Alosi,New York Jets,2003,Strength Assistant
Skip Peete,Oakland Raiders,2003,Running Backs
Fred Biletnikoff,Oakland Raiders,2003,Wide Receivers
Jay Norvell,Oakland Raiders,2003,Tight Ends
Chris Turner,Oakland Raiders,2003,Offensive Assistant
Mike Waufle,Oakland Raiders,2003,Defensive Line
Chris Griswold,Oakland Raiders,2003,Quality Control/Defense
Don Martin,Oakland Raiders,2003,Quality Control/Defense
Willie Brown,Oakland Raiders,2003,Squad Development
Tim Adams,Oakland Raiders,2003,Strength And Conditioning
Ted Williams,Philadelphia Eagles,2003,Running Backs
David Culley,Philadelphia Eagles,2003,Wide Receivers
Tom Melvin,Philadelphia Eagles,2003,Tight Ends
Bill Shuey,Philadelphia Eagles,2003,Offensive Assistant/Quality Control
James Urban,Philadelphia Eagles,2003,Coaching Intern
Tommy Brasher,Philadelphia Eagles,2003,Defensive Line
Mike Reed,Philadelphia Eagles,2003,Defensive Assistant/Quality Control
Dave Toub,Philadelphia Eagles,2003,Special Teams/Quality Control
Rick Burkholder,Philadelphia Eagles,2003,Head Athletic Trainer
Mike Wolf,Philadelphia Eagles,2003,Strength And Conditioning
Tom Kanavy,Philadelphia Eagles,2003,Assistant Strength And Conditioning
Eric Sugarman,Philadelphia Eagles,2003,Assistant Trainer
James Lofton,San Diego Chargers,2003,Wide Receivers
Tim Brewster,San Diego Chargers,2003,Tight Ends
Hudson Houck,San Diego Chargers,2003,Offensive Line
Pete Carmichael Jr,San Diego Chargers,2003,Offensive Assistant/Quality Control
Wayne Nunnely,San Diego Chargers,2003,Defensive Line
Jerry Holmes,San Diego Chargers,2003,Defensive Backs
Dave Redding,San Diego Chargers,2003,Strength And Conditioning
Matt Schiotz,San Diego Chargers,2003,Assistant Strength And Conditioning
Bill Walsh,San Francisco 49ers,2003,Consultant
Gregg Smith,San Francisco 49ers,2003,Assistant Head/Tight Ends
Tim Lappano,San Francisco 49ers,2003,Running Backs
Eric Yarber,San Francisco 49ers,2003,Wide Receivers
Patrick Morris,San Francisco 49ers,2003,Offensive Line
Chris Beake,San Francisco 49ers,2003,Offensive Assistant
Brett Maxie,San Francisco 49ers,2003,Secondary
Al Simmons,San Francisco 49ers,2003,Assistant Secondary
Dick Tomey,San Francisco 49ers,2003,Defensive Assistant
Jamie Christian,San Francisco 49ers,2003,Defensive Quality Control
Jeff Rodgers,San Francisco 49ers,2003,Special Teams Quality Control
Stan Parrish,Tampa Bay Buccaneers,2003,Quarterbacks
Kirby Wilson,Tampa Bay Buccaneers,2003,Running Backs
Richard Mann,Tampa Bay Buccaneers,2003,Wide Receivers
Art Valero,Tampa Bay Buccaneers,2003,Tight Ends
Jim Pyne,Tampa Bay Buccaneers,2003,Offensive Quality Control
Richard Bisaccia,Tampa Bay Buccaneers,2003,Special Teams
Mike Morris,Tampa Bay Buccaneers,2003,Assistant Strength And Conditioning
Craig Johnson,Tennessee Titans,2003,Quarterbacks
Steve Walters,Tennessee Titans,2003,Wide Receivers
Ned James,Tennessee Titans,2003,Offensive Assistant/Quality Control
Jim Washburn,Tennessee Titans,2003,Defensive Line
Everett Withers,Tennessee Titans,2003,Defensive Backs
Alan Lowry,Tennessee Titans,2003,Special Teams
Steve Watterson,Tennessee Titans,2003,Strength And Conditioning
Sammy Cribb,Tennessee Titans,2003,Assistant Strength And Conditioning
Alex Gibbs,Atlanta Falcons,2004,Assistant Head/Offensive Line
Mike Johnson,Atlanta Falcons,2004,Quarterbacks
Ollie Wilson,Atlanta Falcons,2004,Running Backs
George Stewart,Atlanta Falcons,2004,Wide Receivers
Clancy Barone,Atlanta Falcons,2004,Assistant Offensive Line
Robert Prince,Atlanta Falcons,2004,Offensive Assistant
Bill Johnson,Atlanta Falcons,2004,Defensive Line
Chris Beake,Atlanta Falcons,2004,Linebackers
Brett Maxie,Atlanta Falcons,2004,Defensive Backs
Al Miller,Atlanta Falcons,2004,Strength And Conditioning
Rocky Colburn,Atlanta Falcons,2004,Assistant Strength And Conditioning
David Shaw,Baltimore Ravens,2004,Quarterbacks/Wide Receivers
Matt Simon,Baltimore Ravens,2004,Running Backs
Wade Harman,Baltimore Ravens,2004,Tight Ends/Assistant Offensive Line
Jim Fassel,Baltimore Ravens,2004,Senior Consultant/Offense
Jeff FitzGerald,Baltimore Ravens,2004,Outside Linebackers
Johnnie Lynn,Baltimore Ravens,2004,Secondary
Phil Zacharias,Baltimore Ravens,2004,Defensive Assistant
Bennie Thompson,Baltimore Ravens,2004,Special Teams Assistant
