name,team,year,position_w
Carl Taseff,Miami Dolphins,1977,Offensive Backs/Special Teams
John Sandusky,Miami Dolphins,1977,Offensive Line/Running Game
Bill Arnsparger,Miami Dolphins,1977,Assistant Head/Defense
Mike Scarry,Miami Dolphins,1977,Defensive Line/Run Defense
Tom Keane,Miami Dolphins,1977,Defensive Backs/Punting
John Polonchek,New England Patriots,1977,Quarterbacks/Special Assistant Head Coach
Ron Erhardt,New England Patriots,1977,Offensive Backfield
Leon McLaughlin,New England Patriots,1977,Offensive Line
Ernie Adams,New England Patriots,1977,Offensive Assistant
Charlie Sumner,New England Patriots,1977,Linebackers/Secondary
Dick Walker,New England Patriots,1977,Defensive Backs
Tom Yewcic,New England Patriots,1977,Special Teams/Offensive Backfield
John Beake,New Orleans Saints,1977,Offensive Backfield
Buck Buchanan,New Orleans Saints,1977,Defensive Line
Whitey Campbell,New Orleans Saints,1977,Special Teams
Alvin Roy,New Orleans Saints,1977,Strength And Conditioning
Dick Hoak,Pittsburgh Steelers,1977,Offensive Backfield
Dan Radakovich,Pittsburgh Steelers,1977,Offensive Line
