name,position,team,year,wlink
Ed Khayat,Defensive Line,New Orleans Saints,1969,https://en.wikipedia.com/wiki/Ed_Khayat
Jerry Smith,Linebackers,New Orleans Saints,1969,https://en.wikipedia.com/wiki/Jerry_Smith_(coach)
Ed Biles,Defensive Backfield,New Orleans Saints,1969,https://en.wikipedia.com/wiki/Ed_Biles
Norm Van Brocklin,Head Coach,Atlanta Falcons,1970,
Walt Yowarsky,Offensive Backfield,Atlanta Falcons,1970,https://en.wikipedia.com/wiki/Walt_Yowarsky
Harry Gilmer,Receivers,Atlanta Falcons,1970,https://en.wikipedia.com/wiki/Harry_Gilmer
Duane Putnam,Offensive Line,Atlanta Falcons,1970,https://en.wikipedia.com/wiki/Duane_Putnam
Marion Campbell,Head Defensive,Atlanta Falcons,1970,https://en.wikipedia.com/wiki/Marion_Campbell
Bob Griffin,Defensive Line,Atlanta Falcons,1970,https://en.wikipedia.com/wiki/Bob_Griffin_(American_football_player)
Fred Bruney,Defensive Backfield,Atlanta Falcons,1970,https://en.wikipedia.com/wiki/Fred_Bruney
Don McCafferty,Head Coach,Baltimore Colts,1970,https://en.wikipedia.com/wiki/Don_McCafferty
Dick Bielski,Receivers/Offensive Ends,Baltimore Colts,1970,https://en.wikipedia.com/wiki/Dick_Bielski
John Idzik,Offensive Coordinator,Baltimore Colts,1970,https://en.wikipedia.com/wiki/John_Idzik
Lou Rymkus,Offensive Line Coach,Baltimore Colts,1970,https://en.wikipedia.com/wiki/Lou_Rymkus
John Sandusky,Defensive Coordinator/Defensive Line,Baltimore Colts,1970,https://en.wikipedia.com/wiki/John_Sandusky
Bobby Boyd,Defensive Backfield,Baltimore Colts,1970,https://en.wikipedia.com/wiki/Bobby_Boyd
Hank Bullough,Linebackers Coach,Baltimore Colts,1970,https://en.wikipedia.com/wiki/Hank_Bullough
John Mazur,Interim Head Coach/Offensive Backfield,Boston Patriots,1970,https://en.wikipedia.com/wiki/John_Mazur
Jerry Stoltz,Receivers,Boston Patriots,1970,https://en.wikipedia.com/w/index.php?title=Jerry_Stoltz&amp;action=edit&amp;redlink=1
Bruce Beatty,Offensive Line,Boston Patriots,1970,https://en.wikipedia.com/w/index.php?title=Bruce_Beatty&amp;action=edit&amp;redlink=1
Jesse Richardson,Defensive Line,Boston Patriots,1970,https://en.wikipedia.com/w/index.php?title=Jesse_Richardson&amp;action=edit&amp;redlink=1
John Meyer,Linebackers,Boston Patriots,1970,https://en.wikipedia.com/wiki/John_Meyer_(American_football)
Bill Elias,Defensive Backfield,Boston Patriots,1970,https://en.wikipedia.com/wiki/Bill_Elias
Jack Donaldson,Offensive Backfield,Cincinnati Bengals,1970,
Bill Walsh,Receivers,Cincinnati Bengals,1970,https://en.wikipedia.com/wiki/Bill_Walsh_(American_football_coach)
Bill Johnson,Offensive Line,Cincinnati Bengals,1970,https://en.wikipedia.com/wiki/Bill_Johnson_(center)
Chuck Weber,Defensive Coordinator/Defensive Backfield,Cincinnati Bengals,1970,https://en.wikipedia.com/wiki/Chuck_Weber
Chuck Studley,Defensive Line,Cincinnati Bengals,1970,https://en.wikipedia.com/wiki/Chuck_Studley
Vince Costello,Linebackers,Cincinnati Bengals,1970,https://en.wikipedia.com/wiki/Vince_Costello
Blanton Collier,Head Coach,Cleveland Browns,1970,https://en.wikipedia.com/wiki/Blanton_Collier
Nick Skorich,Offensive Coordinator,Cleveland Browns,1970,https://en.wikipedia.com/wiki/Nick_Skorich
Fritz Heisler,Offensive Line,Cleveland Browns,1970,https://en.wikipedia.com/wiki/Fritz_Heisler
Howard Keys,Offensive Backs,Cleveland Browns,1970,https://en.wikipedia.com/wiki/Howard_Keys
Bob Nussbaumer,Wide Receivers,Cleveland Browns,1970,https://en.wikipedia.com/wiki/Bob_Nussbaumer
Howard Brinker,Defensive Coordinator,Cleveland Browns,1970,https://en.wikipedia.com/wiki/Howard_Brinker
Dick Modzelewski,Defensive Line,Cleveland Browns,1970,https://en.wikipedia.com/wiki/Dick_Modzelewski
Ed Ulinski,Linebackers,Cleveland Browns,1970,https://en.wikipedia.com/wiki/Ed_Ulinski
Leo Murphy,Trainer,Cleveland Browns,1970,
Lou Saban,Head Coach,Denver Broncos,1970,https://en.wikipedia.com/wiki/Lou_Saban
Hunter Enis,Offensive Backs,Denver Broncos,1970,https://en.wikipedia.com/wiki/Hunter_Enis
Sam Rutigliano,Wide Receivers,Denver Broncos,1970,https://en.wikipedia.com/wiki/Sam_Rutigliano
Whitey Dovell,Offensive Line,Denver Broncos,1970,https://en.wikipedia.com/w/index.php?title=Whitey_Dovell&amp;action=edit&amp;redlink=1
Stan Jones,Defensive Line,Denver Broncos,1970,https://en.wikipedia.com/wiki/Stan_Jones_(American_football)
Dick MacPherson,Linebackers,Denver Broncos,1970,https://en.wikipedia.com/wiki/Dick_MacPherson
Joe Collier,Defensive Backfield,Denver Broncos,1970,https://en.wikipedia.com/wiki/Joe_Collier
Don Shula,Head Coach,Miami Dolphins,1970,
Howard Schnellenberger,Offense/Receivers,Miami Dolphins,1970,https://en.wikipedia.com/wiki/Howard_Schnellenberger
Carl Taseff,Offensive Backs,Miami Dolphins,1970,https://en.wikipedia.com/wiki/Carl_Taseff
Monte Clark,Offensive Line,Miami Dolphins,1970,https://en.wikipedia.com/wiki/Monte_Clark
Bill Arnsparger,Defense/Linebackers,Miami Dolphins,1970,https://en.wikipedia.com/wiki/Bill_Arnsparger
